depth,volume
-0.1,0
-0.09800005,0
-0.09600008,0
-0.0940001,0
-0.09200013,0
-0.09000015,0
-0.08800018,0
-0.0860002,0
-0.08400023,0
-0.08200026,0
-0.08000028,0
-0.07800031,0
-0.07600033,0
-0.07400036,0
-0.07200038,0
-0.07000041,0
-0.06800044,0
-0.06600046,0
-0.06400049,0
-0.06200051,0
-0.06000054,0
-0.05800056,0
-0.05600059,0
-0.05400062,0
-0.05200064,0
-0.05000067,0
-0.04800069,0
-0.04600072,0
-0.04400074,0
-0.04200077,0
-0.0400008,0
-0.03800082,0
-0.03600085,0
-0.03400087,0
-0.0320009,0
-0.03000093,0
-0.02800095,0
-0.02600098,0
-0.024001,0
-0.02200103,0
-0.02000105,0
-0.01800108,0
-0.01600111,0
-0.01400113,0
-0.01200116,0
-0.01000118,0
-0.008001208,0
-0.006001234,0
-0.00400126,0
-0.002001286,0
-1.311302E-06,0
0.001998693,0
0.003998697,2.057061E-05
0.005998701,4.969568E-05
0.007998705,9.086902E-05
0.009998709,0.0001443703
0.01199871,0.000210594
0.01399872,0.0002888359
0.01599872,0.0003790351
0.01799873,0.0004815527
0.01999873,0.0005965365
0.02199873,0.0007234217
0.02399874,0.0008621035
0.02599874,0.001012663
0.02799875,0.001175288
0.02999875,0.001350062
0.03199875,0.001536616
0.03399876,0.001734753
0.03599876,0.001944469
0.03799877,0.002165847
0.03999877,0.00239898
0.04199877,0.002643856
0.04399878,0.002900274
0.04599878,0.00316806
0.04799879,0.003447148
0.04999879,0.003737533
0.05199879,0.004039278
0.0539988,0.004352418
0.0559988,0.00467684
0.05799881,0.005012436
0.05999881,0.005359125
0.06199881,0.00571681
0.06399882,0.006085467
0.06599882,0.006465105
0.06799883,0.006855738
0.06999883,0.007257258
0.07199883,0.007669567
0.07399884,0.008092608
0.07599884,0.00852636
0.07799885,0.00897076
0.07999885,0.009425764
0.08199885,0.009891352
0.08399886,0.01036751
0.08599886,0.0108541
0.08799887,0.01135105
0.08999887,0.0118583
0.09199888,0.0123758
0.09399888,0.01290357
0.09599888,0.01344158
0.09799889,0.01398979
0.09999889,0.01454814
0.1019989,0.01511659
0.1039989,0.01569504
0.1059989,0.01628334
0.1079989,0.01688146
0.1099989,0.0174894
0.1119989,0.01810711
0.1139989,0.01873462
0.1159989,0.01937189
0.1179989,0.02001886
0.1199989,0.02067548
0.1219989,0.02134167
0.1239989,0.02201729
0.1259989,0.0227023
0.1279989,0.02339664
0.129999,0.02410028
0.131999,0.02481324
0.133999,0.02553546
0.135999,0.02626694
0.137999,0.02700759
0.139999,0.02775734
0.141999,0.02851618
0.143999,0.02928404
0.145999,0.03006074
0.147999,0.03084633
0.149999,0.03164068
0.151999,0.03244388
0.153999,0.03325576
0.155999,0.03407642
0.157999,0.03490575
0.159999,0.03574364
0.161999,0.03659014
0.163999,0.03744512
0.165999,0.03830851
0.167999,0.03918033
0.169999,0.04006037
0.171999,0.04094875
0.173999,0.04184534
0.175999,0.04275015
0.177999,0.04366308
0.1799991,0.04458417
0.1819991,0.04551325
0.1839991,0.0464504
0.1859991,0.04739548
0.1879991,0.04834842
0.1899991,0.04930917
0.1919991,0.05027772
0.1939991,0.051254
0.1959991,0.05223803
0.1979991,0.05322957
0.1999991,0.05422876
0.2019991,0.05523547
0.2039991,0.05624968
0.2059991,0.05727138
0.2079991,0.05830042
0.2099991,0.05933689
0.2119991,0.06038061
0.2139991,0.06143153
0.2159991,0.06248967
0.2179991,0.06355499
0.2199991,0.06462734
0.2219991,0.06570668
0.2239991,0.06679297
0.2259991,0.0678863
0.2279992,0.06898645
0.2299992,0.07009324
0.2319992,0.0712072
0.2339992,0.07232763
0.2359992,0.0734549
0.2379992,0.07458882
0.2399992,0.07572934
0.2419992,0.07687643
0.2439992,0.0780299
0.2459992,0.07918993
0.2479992,0.08035612
0.2499992,0.08152872
0.2519992,0.08270766
0.2539992,0.08389275
0.2559992,0.08508396
0.2579992,0.08628141
0.2599992,0.08748499
0.2619992,0.08869442
0.2639992,0.08990995
0.2659992,0.09113155
0.2679992,0.09235892
0.2699992,0.09359214
0.2719992,0.09483122
0.2739992,0.09607608
0.2759992,0.09732655
0.2779993,0.09858245
0.2799993,0.09984413
0.2819993,0.1011113
0.2839993,0.1023839
0.2859993,0.1036618
0.2879993,0.1049452
0.2899993,0.1062337
0.2919993,0.1075277
0.2939993,0.1088269
0.2959993,0.1101313
0.2979993,0.111441
0.2999993,0.1127558
0.3019993,0.1140753
