depth,timespan
-0.1,2.9998
-0.09800005,3.0024
-0.09600008,3.9978
-0.0940001,2.9991
-0.09200013,2.9989
-0.09000015,3.9996
-0.08800018,4.0005
-0.0860002,4.0005
-0.08400023,4.0002
-0.08200026,3.9983
-0.08000028,2.9985
-0.07800031,2.999
-0.07600033,3.999
-0.07400036,2.998
-0.07200038,3
-0.07000041,2.9999
-0.06800044,3.0002
-0.06600046,3
-0.06400049,2.9992
-0.06200051,3
-0.06000054,2.9994
-0.05800056,3.9985
-0.05600059,3.0003
-0.05400062,4.0005
-0.05200064,3.0025
-0.05000067,3.0004
-0.04800069,3.9989
-0.04600072,4.0018
-0.04400074,3.9992
-0.04200077,3.9998
-0.0400008,3.0027
-0.03800082,3.0004
-0.03600085,3.9995
-0.03400087,4.0022
-0.0320009,3
-0.03000093,2.998
-0.02800095,4.0007
-0.02600098,2.9993
-0.024001,3.9988
-0.02200103,2.9985
-0.02000105,2.9999
-0.01800108,3.9986
-0.01600111,3.0016
-0.01400113,2.9996
-0.01200116,4.0009
-0.01000118,2.9991
-0.008001208,3.0007
-0.006001234,3.0004
-0.00400126,3.0001
-0.002001286,2.9983
-1.311302E-06,2.9978
0.001998693,3.0001
0.003998697,2.9984
0.005998701,3.0014
0.007998705,4.0011
0.009998709,4.0028
0.01199871,3.0016
0.01399872,2.9969
0.01599872,2.9979
0.01799873,3.0011
0.01999873,2.9991
0.02199873,3.0001
0.02399874,2.998
0.02599874,3.0005
0.02799875,3.9994
0.02999875,4.0017
0.03199875,2.9985
0.03399876,2.9979
0.03599876,2.9984
0.03799877,4.0007
0.03999877,3.0026
0.04199877,2.9976
0.04399878,4.0001
0.04599878,2.9964
0.04799879,3.0006
0.04999879,3.0009
0.05199879,2.998
0.0539988,3.0003
0.0559988,2.9978
0.05799881,3.0002
0.05999881,4.0013
0.06199881,2.9993
0.06399882,2.9978
0.06599882,2.9985
0.06799883,3.9994
0.06999883,3.9994
0.07199883,4.0005
0.07399884,2.9979
0.07599884,2.9979
0.07799885,3.9991
0.07999885,3.9986
0.08199885,3.9991
0.08399886,3.999
0.08599886,3.9994
0.08799887,4.0027
0.08999887,3.0012
0.09199888,3.9978
0.09399888,2.9988
0.09599888,3.9991
0.09799889,2.9997
0.09999889,2.9998
0.1019989,2.9999
0.1039989,2.9979
0.1059989,4.0003
0.1079989,3.0015
0.1099989,3.001
0.1119989,3.9988
0.1139989,4.002
0.1159989,3.9998
0.1179989,3.9994
0.1199989,3.5915
0.1219989,3.999
