depth,timespan
-0.1,0
-0.09800005,0
-0.09600008,0
-0.0940001,0
-0.09200013,0
-0.09000015,0.9986
-0.08800018,0
-0.0860002,0
-0.08400023,0.999
-0.08200026,0
-0.08000028,0
-0.07800031,0
-0.07600033,0
-0.07400036,0.9998
-0.07200038,0
-0.07000041,1.0001
-0.06800044,1.0016
-0.06600046,0
-0.06400049,1.0014
-0.06200051,0
-0.06000054,0
-0.05800056,0
-0.05600059,0.9999
-0.05400062,1.0001
-0.05200064,0
-0.05000067,0
-0.04800069,0
-0.04600072,0
-0.04400074,1.001
-0.04200077,0
-0.0400008,0
-0.03800082,0
-0.03600085,0
-0.03400087,0.9994
-0.0320009,0
-0.03000093,0
-0.02800095,0
-0.02600098,0
-0.024001,0
-0.02200103,0
-0.02000105,0
-0.01800108,1.0015
-0.01600111,0.9991
-0.01400113,0
-0.01200116,0
-0.01000118,0
-0.008001208,0
-0.006001234,0
-0.00400126,0
-0.002001286,0
-1.311302E-06,0
0.001998693,1.0017
0.003998697,0
0.005998701,0
0.007998705,1.0005
0.009998709,0.9992
0.01199871,0
0.01399872,0
0.01599872,0
0.01799873,1.0004
0.01999873,0
0.02199873,0
0.02399874,0
0.02599874,0
0.02799875,0
0.02999875,0
0.03199875,0
0.03399876,0
0.03599876,1.0001
0.03799877,1.0002
0.03999877,0
0.04199877,0
0.04399878,0
0.04599878,0
0.04799879,0
0.04999879,0
0.05199879,0
0.0539988,1.0012
0.0559988,0
0.05799881,0
0.05999881,0
0.06199881,0
0.06399882,0
0.06599882,0
0.06799883,0
0.06999883,0
0.07199883,0
0.07399884,0
0.07599884,0
0.07799885,0
0.07999885,1.0021
0.08199885,1.0011
0.08399886,0
0.08599886,0
0.08799887,1.0011
0.08999887,0.9985
0.09199888,0
0.09399888,0
0.09599888,0
0.09799889,0
0.09999889,0
0.1019989,0
0.1039989,0
0.1059989,0
0.1079989,0
0.1099989,0
0.1119989,0
0.1139989,0
0.1159989,0
0.1179989,0.9984
0.1199989,1.0002
0.1219989,0
0.1239989,0.9989
0.1259989,1.0015
0.1279989,0
0.129999,0
0.131999,0
0.133999,0
0.135999,0
0.137999,0
0.139999,1.0022
0.141999,0
0.143999,0
0.145999,0
0.147999,0
0.149999,1.0009
0.151999,0
0.153999,0.9999
0.155999,0
0.157999,0
0.159999,0
0.161999,1.0024
0.163999,0
0.165999,0
0.167999,1.0026
0.169999,1.0029
0.171999,0
0.173999,0
0.175999,0
0.177999,1.0014
0.1799991,0
0.1819991,0
0.1839991,1.0011
0.1859991,0
0.1879991,1.0024
0.1899991,0
0.1919991,0
0.1939991,0.5187
0.1959991,0.8257
0.1979991,1.0032
0.1999991,0
0.2019991,0.9991
0.2039991,0
0.2059991,0
0.2079991,1.0001
0.2099991,0
0.2119991,0.9998
0.2139991,0.999
0.2159991,0
0.2179991,0
0.2199991,0
0.2219991,0
0.2239991,0
0.2259991,0
0.2279992,0
0.2299992,1.0003
0.2319992,0
0.2339992,0
0.2359992,1.0023
0.2379992,0
0.2399992,1.0004
0.2419992,0
0.2439992,1.0024
0.2459992,0
0.2479992,0
0.2499992,0
0.2519992,0
0.2539992,0
0.2559992,1.0073
0.2579992,0.9981
0.2599992,0
0.2619992,1.0009
0.2639992,0
0.2659992,0
0.2679992,0.9985
0.2699992,0
0.2719992,0
0.2739992,0
0.2759992,0
0.2779993,0
0.2799993,0
0.2819993,0
0.2839993,0
0.2859993,0
0.2879993,0
0.2899993,1.002
0.2919993,1.0014
0.2939993,0
0.2959993,0
0.2979993,0.5275
0.2999993,0.5113
0.3019993,0.5263
0.3039993,0.5197
0.3059993,0.999
0.3079993,1.0016
0.3099993,0
0.3119993,0
0.3139993,0
0.3159993,0
0.3179993,0
0.3199993,0
0.3219993,0
0.3239993,0
0.3259993,0
0.3279994,0
0.3299994,0.9997
0.3319994,0
0.3339994,0
0.3359994,0
0.3379994,0
0.3399994,0
0.3419994,0
0.3439994,0
0.3459994,0
0.3479994,1.002
0.3499994,1.0083
0.3519994,0.6801
0.3539994,0.9994
0.3559994,0
0.3579994,1.0101
0.3599994,0
0.3619994,0.0678
0.3639994,0
0.3659994,0
0.3679994,0
0.3699994,1.0118
0.3719994,0
0.3739994,0
0.3759995,0
0.3779994,0
0.3799994,0
0.3819994,1.0016
0.3839994,0
0.3859994,0.9996
0.3879994,1.0034
0.3899994,1.0007
0.3919994,0
0.3939994,0.9998
0.3959994,0
0.3979994,0
0.3999994,0
0.4019994,0
0.4039994,0
