depth,timespan
-0.1,3.9999
-0.09800005,0.9964
-0.09600008,1.0014
-0.0940001,1.0018
-0.09200013,1.0021
-0.09000015,0
-0.08800018,1.0001
-0.0860002,1.0001
-0.08400023,1.0009
-0.08200026,0.9999
-0.08000028,0.9999
-0.07800031,0.9998
-0.07600033,1.0001
-0.07400036,1.0001
-0.07200038,1.0004
-0.07000041,1.0012
-0.06800044,0
-0.06600046,0.9992
-0.06400049,0.9983
-0.06200051,0.9999
-0.06000054,0.9966
-0.05800056,1.0008
-0.05600059,0.9992
-0.05400062,0.9999
-0.05200064,0
-0.05000067,0
-0.04800069,1.0011
-0.04600072,0.9999
-0.04400074,0.999
-0.04200077,0.9988
-0.0400008,0.9998
-0.03800082,0
-0.03600085,0.9998
-0.03400087,0
-0.0320009,0
-0.03000093,0
-0.02800095,1.0015
-0.02600098,1.0001
-0.024001,1
-0.02200103,0.9979
-0.02000105,1.0001
-0.01800108,1.0004
-0.01600111,0
-0.01400113,0.9996
-0.01200116,1.0003
-0.01000118,0.9987
-0.008001208,0.9996
-0.006001234,0.9987
-0.00400126,0.9972
-0.002001286,1.0014
-1.311302E-06,0.9973
0.001998693,0.9998
0.003998697,0.9997
0.005998701,1.0001
0.007998705,0.999
0.009998709,0.9998
0.01199871,1
0.01399872,0
0.01599872,0.9993
0.01799873,0.9998
0.01999873,0.997
0.02199873,1.0004
0.02399874,0
0.02599874,0
0.02799875,1.0019
0.02999875,0.999
0.03199875,0.9983
0.03399876,0
0.03599876,1.0011
0.03799877,0.9992
0.03999877,0.9984
0.04199877,0.9986
0.04399878,1.0003
0.04599878,0.999
0.04799879,0.999
0.04999879,0.9994
0.05199879,0.9976
0.0539988,1.0005
0.0559988,1.0006
0.05799881,0
0.05999881,1.0002
0.06199881,0.9999
0.06399882,0.9997
0.06599882,0
0.06799883,0.9993
0.06999883,1.0002
0.07199883,1.0001
0.07399884,0.9994
0.07599884,0.9973
0.07799885,0.9996
0.07999885,1.0001
0.08199885,1.0004
0.08399886,0.9982
0.08599886,0.9982
0.08799887,1.0011
0.08999887,0.9975
0.09199888,1.0029
0.09399888,1.0005
0.09599888,0.9989
0.09799889,0.9992
0.09999889,0.9989
0.1019989,1.003
0.1039989,0.9964
0.1059989,0.999
0.1079989,0.9984
0.1099989,1.0006
0.1119989,1.0002
0.1139989,0.9977
0.1159989,0.9991
0.1179989,1.0006
0.1199989,0.9997
0.1219989,1
0.1239989,1.0002
0.1259989,1.002
0.1279989,0.9998
0.129999,0.9993
0.131999,1.0006
0.133999,0.9994
0.135999,0.9994
0.137999,1.003
0.139999,0.9996
0.141999,1
0.143999,0
0.145999,1.0014
0.147999,0.9986
0.149999,1.0001
0.151999,0.9999
0.153999,0.9991
0.155999,1.0006
0.157999,0.9997
0.159999,0.9993
0.161999,0.9957
0.163999,1.0002
0.165999,1.0002
0.167999,0.9943
0.169999,0.999
0.171999,0
0.173999,0.9997
0.175999,1
0.177999,0.9973
0.1799991,1.0004
0.1819991,0.9972
0.1839991,1.0001
0.1859991,1.0002
0.1879991,1.0003
0.1899991,0.9981
0.1919991,0.9978
0.1939991,0.9993
0.1959991,0.9996
0.1979991,0.9989
0.1999991,1.0002
0.2019991,0.9997
0.2039991,0.9969
0.2059991,1.0031
0.2079991,0.9989
0.2099991,0.9998
0.2119991,0.5647
0.2139991,1.6894
0.2159991,0.9967
0.2179991,1.0002
0.2199991,1
0.2219991,0.9967
0.2239991,0.9986
0.2259991,1.0009
0.2279992,0.5063
0.2299992,0.9985
0.2319992,0.9966
0.2339992,1.0002
0.2359992,0.9989
0.2379992,0.9994
0.2399992,0.9976
0.2419992,0.9999
0.2439992,0.9997
0.2459992,0.9996
0.2479992,0.9993
0.2499992,1.0013
0.2519992,1.0009
0.2539992,1.0082
0.2559992,1.0567
0.2579992,1.0006
0.2599992,0.9998
0.2619992,0.9977
0.2639992,0.9972
0.2659992,1.0089
0.2679992,0.9999
0.2699992,0.9988
0.2719992,1.9974
0.2739992,1
0.2759992,0.9997
0.2779993,1.0089
0.2799993,0.998
0.2819993,0.9995
0.2839993,1.0003
0.2859993,0.9957
0.2879993,0.9985
0.2899993,1.0007
0.2919993,0.998
0.2939993,0.9999
0.2959993,1.0005
0.2979993,1.0038
0.2999993,1.5711
0.3019993,1.0464
0.3039993,1.0351
0.3059993,1.047
0.3079993,0.9998
0.3099993,1.0001
0.3119993,0.9971
0.3139993,1.0027
0.3159993,0.9976
0.3179993,1.9971
0.3199993,0.9969
0.3219993,1
0.3239993,1.0018
0.3259993,0.9999
0.3279994,2.0005
0.3299994,0.9994
0.3319994,1.0006
0.3339994,0.9966
0.3359994,1.997
0.3379994,0.9997
0.3399994,0.9993
0.3419994,0.5152
0.3439994,0.8682
0.3459994,0.9995
0.3479994,1.0074
0.3499994,1.0007
0.3519994,1.0034
0.3539994,2.0079
0.3559994,0.6345
0.3579994,1.1691
0.3599994,2.0005
0.3619994,0.9969
0.3639994,0.9998
0.3659994,1.0003
0.3679994,0.9993
0.3699994,0.9998
0.3719994,0.9979
0.3739994,1.0003
0.3759995,0.9989
0.3779994,2.0076
0.3799994,1.0073
0.3819994,1.001
0.3839994,1.0901
0.3859994,1.0005
0.3879994,1.0069
0.3899994,0.998
0.3919994,1.0002
0.3939994,1
0.3959994,2.0008
0.3979994,1.0085
0.3999994,1.0003
0.4019994,1.0004
0.4039994,1.2957
0.4059994,1.0081
0.4079994,0.9993
0.4099994,1.0038
0.4119994,2.0081
0.4139994,1.0076
0.4159994,1.9981
0.4179994,1.9962
0.4199994,1.0003
0.4219994,0.9998
0.4239994,0.999
0.4259993,0.6066
0.4279993,1.7424
0.4299994,1.6185
0.4319994,0.9998
0.4339994,0.9998
0.4359993,0.999
0.4379993,0.9991
0.4399993,0.9997
0.4419993,0.9986
0.4439994,1.0001
0.4459994,1.9981
0.4479994,1.0003
0.4499993,1.999
0.4519993,0.9999
0.4539993,1.0017
0.4559993,0.999
0.4579993,1
0.4599994,0.9971
0.4619994,0.9998
0.4639993,1.9979
0.4659993,0.9995
0.4679993,1.0008
0.4699993,1.0013
0.4719993,0.9976
0.4739994,0.9966
0.4759994,0.9974
0.4779993,0.9986
0.4799993,0.999
0.4819993,1.0012
0.4839993,1.9977
0.4859993,0.9999
0.4879993,0.9976
0.4899993,1.9975
0.4919993,0.9966
0.4939993,1.0019
0.4959993,0.9972
0.4979993,0.861
0.4999993,1.0003
0.5019993,0.9992
0.5039994,1.6626
0.5059993,1.0015
0.5079993,1.9961
0.5099993,0.9992
0.5119993,1.0571
0.5139993,1.5751
0.5159993,2
0.5179993,0.9998
0.5199993,1.9974
0.5219993,1.0526
0.5239993,2.0023
0.5259993,0.9981
0.5279993,0.9995
0.5299993,1.9985
0.5319993,2.9975
0.5339993,2.0013
0.5359993,1.0003
0.5379993,0.9992
0.5399993,0.9995
0.5419993,1.4984
0.5439993,1.0003
0.5459993,2.001
0.5479993,1.0004
0.5499993,0.9996
0.5519993,1.9965
0.5539993,1.9966
0.5559993,0.9994
0.5579993,0.9997
0.5599993,1.0004
0.5619993,1.0113
0.5639993,1.0007
0.5659993,0.9998
0.5679993,0.9994
0.5699993,1.9987
0.5719993,1.0024
0.5739993,0.9996
0.5759993,0.9992
0.5779993,1.0001
0.5799993,0.9995
0.5819993,0.9987
0.5839993,2.0007
0.5859993,1.0013
0.5879993,0.9989
0.5899993,0.9991
0.5919993,1.0004
0.5939993,1.003
0.5959992,0.9988
0.5979993,0.9986
0.5999992,0.9995
0.6019993,0.9972
0.6039993,0.9984
0.6059992,1.999
0.6079993,1.9988
0.6099992,1.0019
0.6119992,2.0097
0.6139992,0.9998
0.6159992,2.0012
0.6179992,0.9997
0.6199992,1.0024
0.6219992,1.0007
0.6239992,1.0003
0.6259992,0.9981
0.6279992,0.9995
0.6299992,1.0001
0.6319993,1.9987
0.6339992,2.0039
0.6359992,0.9995
0.6379992,1.9991
0.6399993,1.997
0.6419992,0.9963
0.6439992,0.9996
0.6459993,2.0002
0.6479993,1.9996
0.6499993,1.0011
0.6519992,1.0094
0.6539993,1.0006
0.6559993,0.9973
0.6579993,1.9996
0.6599993,1.0008
0.6619993,1.1227
0.6639993,0.9665
0.6659993,1.0088
0.6679993,1.9983
0.6699993,1.0004
0.6719993,0.9993
0.6739993,0.9991
0.6759993,0.9995
0.6779993,0.9981
0.6799994,0.9992
0.6819993,0.9998
0.6839993,2.0005
0.6859993,1.0105
0.6879994,0.9978
0.6899993,0.9991
0.6919993,2.0089
0.6939994,0.9991
0.6959994,1.0003
0.6979994,1.0009
0.6999993,1.0002
0.7019994,1.953
0.7039994,1.9992
0.7059994,1
0.7079993,1.5051
0.7099994,0.999
0.7119994,1.0021
0.7139994,1.9993
0.7159994,1.9986
0.7179994,1.9997
0.7199994,0.9981
0.7219994,1.5459
0.7239994,1.0011
0.7259994,1.998
0.7279994,2.0016
0.7299994,1.9981
0.7319994,1
0.7339994,0.9998
0.7359995,2.0011
0.7379994,1.0006
0.7399994,0.9985
0.7419994,1.0036
0.7439995,1.587
0.7459995,1.6492
0.7479994,0.9983
0.7499995,0.9979
0.7519995,1.9476
0.7539995,0.717
0.7559994,1.996
0.7579995,0.999
0.7599995,0.9991
0.7619995,0.9979
0.7639995,1.9988
0.7659995,1.9993
0.7679995,0.9991
0.7699995,0.9989
0.7719995,0.9996
0.7739995,1.0334
0.7759995,2.0005
0.7779995,1.5683
0.7799995,1.0084
0.7819995,0.9992
0.7839996,0.9993
0.7859995,1.0016
0.7879995,1.1811
0.7899995,2.0085
0.7919996,2.0003
0.7939996,0.9998
0.7959995,1.9993
0.7979996,1.9992
0.7999996,0.9991
0.8019996,1.0022
0.8039995,1.0004
0.8059996,1.9997
0.8079996,0.997
0.8099996,0.9987
0.8119996,0.9995
0.8139996,1.9977
0.8159996,2.0001
0.8179996,1.9999
0.8199996,1.0066
0.8219996,1.9993
0.8239996,1.9982
0.8259996,1.9977
0.8279996,1.0006
0.8299996,1.0033
0.8319997,1.9998
0.8339996,2.0008
0.8359996,1.9999
0.8379996,1
0.8399997,2.0002
0.8419997,0.9998
0.8439996,1.9987
0.8459997,1.0001
0.8479997,1.0019
0.8499997,0.9993
0.8519996,0.9994
0.8539997,0.9986
0.8559997,0.9983
0.8579997,0.9997
0.8599997,0.9962
0.8619997,0.9998
0.8639997,0.9984
0.8659997,0.9987
0.8679997,0.9994
0.8699997,0.9988
0.8719997,2.0003
0.8739997,0.9989
0.8759997,0.9994
0.8779997,1.998
0.8799998,1.9987
0.8819997,0.9994
0.8839997,0.9982
0.8859997,0.9989
0.8879998,1.9982
0.8899997,0.9995
0.8919997,0.9996
0.8939998,1.5462
0.8959998,1.0003
0.8979998,1.0592
0.8999997,1.0016
0.9019998,2.0012
0.9039998,1.9996
0.9059998,0.9984
0.9079998,2.002
0.9099998,0.9974
0.9119998,1.6082
0.9139998,2.0007
0.9159998,0.9997
0.9179998,1.9486
0.9199998,1.999
0.9219998,0.9991
0.9239998,0.9993
0.9259998,1.9998
0.9279999,1.9982
0.9299998,0.9993
0.9319998,1.0082
0.9339998,0.9989
0.9359999,1.001
0.9379998,1.9994
0.9399998,1.9996
0.9419999,2.0009
0.9439999,0.9992
0.9459999,0.9995
