iteration_number,time
0,1503.1
1,387.6
2,2204.6
3,368.3
4,343.8
5,359.9
6,399.7
7,348.5
8,379.1
9,353.5
10,383.5
11,341.2
12,337.8
13,400.4
14,340.2
15,329.9
16,333.2
17,350.8
18,346.4
19,352.7
20,440.3
21,386.6
22,374.5
23,360.5
24,366.2
25,413.4
26,326
27,412.7
28,346.3
29,372.9
30,368.3
31,322.8
32,367.4
33,374.6
34,357.6
35,367.8
36,299.7
37,392
38,338.6
39,356.7
40,328.8
41,325.5
42,361.8
43,358.9
44,340.6
45,361.3
46,354.9
47,310.1
48,352.7
49,321
50,348
51,388.6
52,325.6
53,352.2
54,378.5
55,339.7
56,339.8
57,352.5
58,370.7
59,403.5
60,337.8
61,344.6
62,340.4
63,370.9
64,345.7
65,368
66,320.9
67,338.5
68,329.4
69,379.3
70,374.8
71,339.1
72,330.8
73,358.6
74,372.5
75,382
76,345
77,376.7
78,342.8
79,330.4
80,356.2
81,334
82,338.4
83,331.6
84,335.3
85,344.2
86,351.1
87,359.1
88,336.2
89,353.7
90,335.6
91,355.5
92,350.7
93,364.8
94,388.8
95,334.9
96,405.5
97,341.4
98,362
99,366.6
