iteration_number,time
0,1521.5
1,386
2,2190.3
3,380.8
4,445.5
5,372.8
6,388.1
7,393.6
8,390.7
9,336.2
10,682.2
11,417.4
12,323.7
13,333.9
14,308
15,352.5
16,327
17,316.3
18,327.7
19,329
20,345.2
21,313
22,350.1
23,317.5
24,342.3
25,339.3
26,328.3
27,398.6
28,332.8
29,316.1
30,331.8
31,330.1
32,344.3
33,345.1
34,373.9
35,344.3
36,378.8
37,325.8
38,324.6
39,324.8
40,314.8
41,307.3
42,346.8
43,356.3
44,321.5
45,332
46,341
47,375.2
48,329.2
49,328.7
50,361.8
51,361.2
52,333.7
53,348.3
54,337.9
55,336.9
56,342.2
57,326.2
58,367.7
59,357.2
60,323.8
61,329.4
62,317.4
63,328.2
64,342.2
65,308
66,356.7
67,329.7
68,326
69,328.3
70,318.1
71,328.8
72,355.1
73,359
74,355.6
75,357.4
76,313.4
77,382.6
78,344.9
79,347
80,330.7
81,325.6
82,363.6
83,333
84,330
85,344.5
86,335.7
87,352.6
88,314.8
89,350
90,313.2
91,321.8
92,311.9
93,359.5
94,355.2
95,314.8
96,301.7
97,334.4
98,325.8
99,332.9
